Year,Price,Truth
2022,52950,0
2021,50045,0
2020,48651,0
2019,35220,0
2018,31438,0
2017,29667,0
2016,28623,0
2015,26343,0
2014,28006,0
2013,29600,0
2012,31050,0
2011,26400,0
2010,18500,0
2009,14500,0
2008,12500,0
2007,10800,0
2006,8400,0
2005,7000,0
2004,5850,0
2003,5600,0
2002,4990,0
2001,4300,0
2000,4400,0
1999,4234,0
1998,4045,1
1997,4725,1
1996,5160,1
1995,4680,1
1994,4598,1
1993,4140,1
1992,4334,1
1991,3466,1
1990,3200,1
1989,3140,1
1988,3130,1
1987,2570,1
1986,2140,1
1985,2130,1
1984,1970,1
1983,1800,1
1982,1645,1
1981,1800,1
1980,1330,1
1979,937,1
1978,685,1
1977,486,1
1976,432,1
1975,540,1
1974,506,1
1973,279,1
1972,202,1
1971,193,1
1970,184,1
1969,176,1
1968,162,1
1967,103,1
1966,84,1
1965,72,1
