Silver_Price,Year,Gold_price
2715,1981,1800
2720,1982,1970
3105,1983,2130
3570,1984,2140
3955,1985,2570
4015,1986,3130
4794,1987,3140
6066,1988,3200
6755,1989,3466
6463,1990,4045
6646,1991,4140
8040,1992,4234
5489,1993,4300
7124,1994,4334
6335,1995,4400
7346,1996,4598
7345,1997,4680
8560,1998,4725
7615,1999,4990
7900,2000,5160
7215,2001,5600
7875,2002,5850
7695,2003,7000
11770,2004,8400
10675,2005,10800
17405,2006,12500
19520,2007,14500
23625,2008,18500
22165,2009,26343
27255,2010,26400
56900,2011,28006
56290,2012,28623
54030,2013,29600
43070,2014,29667
37825,2015,31050
36990,2016,31438
37825,2017,35220
41400,2018,48651
40600,2019,50045
63435,2020,52950
